景点名称,景点图片,city,county,景点地址,景点参观人数,景点评分,景点短语,景点链接,景点最低价格,景点等级,景点详细信息,景点开放时间,景点图片合集,json
白鹭湖体育旅游小镇,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/350s1e000001frgzwA24B_C_900_504.jpg_280x200_0732e6bb.jpg,惠州市,惠城区,惠州市惠城区汝湖镇雅居乐大道1号,-1,-1.0,白鹭湖体育旅游小镇位于惠州市雅居乐白鹭湖，是集水上运动、野战基地、房车营地、体育教育、体育商业等为一体的滨水体育综合体。,https://piao.qunar.com/ticket/detail_1307245669.html?st=a3clM0QlRTYlODMlQTAlRTUlOUYlOEUlRTUlOEMlQkElMjZpZCUzRDUwNjM3NSUyNnR5cGUlM0QwJTI2aWR4JTNEMjElMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,白鹭湖体育旅游小镇位于惠州市雅居乐白鹭湖，是集水上运动、野战基地、房车营地、体育教育、体育商业等为一体的滨水体育综合体。项目依山傍湖而建，湖光山色，绿草遍地。总面积约4平方公里，其中水域面积2.7平方公里，陆地、山林1.3平方公里。有6片近万平米的草地，2000平米的码头，约38公里山道，约15公里环湖绿道。,1/1-12/31；周一至周日；全天开放,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/350s1e000001frgzwA24B_C_900_504.jpg_710x360_b31a46cd.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/350o1e000001fjfn16C53_C_900_504_Q90_Mtg_7.jpg_710x360_a8706ad4.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/350p1e000001fjq5lF002_C_900_504_Q90_Mtg_7.jpg_710x360_ee936d14.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/350i1e000001fjeuk3ED2_C_900_504_Q90_Mtg_7.jpg_710x360_8f56e3e4.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/350t1e000001fkn4iD207_C_900_504_Q90_Mtg_7.jpg_710x360_9afbb4c3.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/350q1e000001flvrkB99E_C_900_504_Q90_Mtg_7.jpg_710x360_63d2a71e.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/350q1e000001flvrjA97F_C_900_504_Q90_Mtg_7.jpg_710x360_09f2fe3d.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/350o1e000001fjfn05C32_C_900_504_Q90_Mtg_7.jpg_710x360_7952ce9b.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/350h1e000001fm5zs7B45_C_900_504_Q90_Mtg_7.jpg_710x360_24e9fd15.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/350p1e000001fjq5k20E5_C_900_504_Q90_Mtg_7.jpg_710x360_4e0eefd2.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/350s1e000001frgzwA24B_C_900_504_Q90_Mtg_7.jpg_710x360_90ab16c1.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
大象越野基地,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0106s120008qfumn56E79_C_900_504.jpg_280x200_c8a51d18.jpg,惠州市,惠城区,火车西站西南面林场石龙坑,-1,-1.0,位于惠州市惠城区石龙坑山里头农场内，独拥大自然环境、丛林地形资源。超大马力的越野摩托车，分为全地形越野场地和丛林穿越路线,https://piao.qunar.com/ticket/detail_1074445780.html?st=a3clM0QlRTYlODMlQTAlRTUlOUYlOEUlRTUlOEMlQkElMjZpZCUzRDUxMjMyMyUyNnR5cGUlM0QwJTI2aWR4JTNEMjAlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,位于惠州市惠城区石龙坑山里头农场内，独拥大自然环境、丛林地形资源。超大马力的越野摩托车，分为全地形越野场地和丛林穿越路线，飞扬尘土、跋山涉水，尽在大象越野~乡野别墅：贴近大自然，感受大自然，是追求绿色追求自由人士的向往，但在追求大自然的同时，同样也希望有个舒适安逸的睡眠环境。乡野小别墅，外观粗糙土气，内部现代气派。横躺竖躺都海阔天空。露天浴池，一边泡浴，一边数星星。特色农庄：地地道道的农家柴火饭、乡土菜。田头自摘有机蔬菜瓜果、下地亲捉土鸡鸭。游玩项目：玩：登一座山，看两座城，踏三县地。石龙峰海拔500米，地处山里头农场西北（惠城、惠阳、博罗三县区交界处）。登山道已经开通。在山顶，可见惠州市区和博罗县城。一足踏着三县区的土地，一目饱览三县区的美景。重拾儿时土游戏，三代人纵情山水享天伦。拉弹弓、打陀螺、踩高跷、滚铁环、放风筝、踢毽子吹泡泡、跳皮筋、撑竹排、扑蜻蜓、挖泥鳅、摸鱼虾、捉昆虫、挖番薯、捡鸡蛋、寻宝物……三五好友、团队伙伴相约嬉戏，采摘、钓鱼、烧烤、篝火、野营、打扑克、寻宝山野间搜土鸡，土鸭、土鸡蛋；或独自登山品秋色，随兴而摘野果、野菜和野花；更宜带上情侣约会青山绿水、瓜田李下二重天。玩法宜静宜动，田园野趣，自然随意，惊喜随处见。酒足饭饱，在高山丛林间纵情篝火狂歌劲舞，夜不思归。,1/1-12/31；周一至周日；09:00-18:00开园,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0106s120008qfumn56E79_C_900_504.jpg_710x360_f1ad5ab4.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
开心联合国生态农场露营地,https://imgs.qunarzz.com/sight/p0/2204/e4/e40965fc3ea30467a3.img.jpg_280x200_69048da3.jpg,惠州市,惠城区,广东省惠州市惠城区横沥镇矮陂镇开心联合国生态农场,-1,-1.0,云卷云舒宁静致远,https://piao.qunar.com/ticket/detail_2054820655.html?st=a3clM0QlRTYlODMlQTAlRTUlOUYlOEUlRTUlOEMlQkElMjZpZCUzRDUxNDQyMiUyNnR5cGUlM0QwJTI2aWR4JTNEMTklMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,200亩开心联合国生态研学基地。果园占地80亩，有荔枝园，火龙果园，番石榴园，砂糖桔园，桑葚园等果园，还有农业生态示范园40亩，拓展研学用地40亩，娱乐建设用地40亩。环境优美、设施齐全的温泉别墅，满足各层级人士对娱乐、餐饮、住宿等方面的不同需求，无论男女老幼，均能在这里找到休憩安心之所。,1/1-12/31；周一至周日；全天开放,https://imgs.qunarzz.com/sight/p0/2204/e4/e40965fc3ea30467a3.img.jpg_710x360_32de98b6.jpg〇https://imgs.qunarzz.com/sight/p0/2204/df/dfda3f628309925ea3.img.jpg_710x360_9d795b22.jpg〇https://imgs.qunarzz.com/sight/p0/2204/5b/5b51ab769cd70a86a3.img.png_710x360_c0001be8.png〇https://imgs.qunarzz.com/sight/p0/2204/8d/8d7485a7646b2375a3.img.jpg_710x360_f1065318.jpg〇https://imgs.qunarzz.com/sight/p0/2204/e5/e55f57600481f609a3.img.jpg_710x360_4982fcc7.jpg〇https://imgs.qunarzz.com/sight/p0/2204/85/85d42be4c7493d71a3.img.jpg_710x360_f20b6c32.jpg〇https://imgs.qunarzz.com/sight/p0/2204/a8/a8eaeb1bd643cca6a3.img.jpg_710x360_4c210059.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
EG露营·丽日天台露营地,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0103z120009a1gw7f3D85_C_900_504.jpg_280x200_abfca1c7.jpg,惠州市,惠城区,广东省惠州市惠城区水口街道横沙村合生愉景湾东江日落露营地,-1,-1.0,江边落日虫鸣蟋蟀东江垂钓,https://piao.qunar.com/ticket/detail_4186076422.html?st=a3clM0QlRTYlODMlQTAlRTUlOUYlOEUlRTUlOEMlQkElMjZpZCUzRDUxMzg1NCUyNnR5cGUlM0QwJTI2aWR4JTNEMTglMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,清透的溪流、浓绿动人的湖泊，见一眼便摄人心魄，蝶舞，鸟鸣，蝉歌，原生态的自然，也有绚烂的日落。轻装上阵，约上三五好友，到大自然尽情戏水玩乐有美食相伴，看电影喝酒侃大山happy到第二天才回家，给自己充电放松的一天！,具体营业状态以当天开放情况为准,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0103z120009a1gw7f3D85_C_900_504.jpg_710x360_b218e5be.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0102g120009a1h6ogCACA_C_900_504_Q90_Mtg_7.jpg_710x360_10d285d0.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0106g120009a1h44196FD_C_900_504_Q90_Mtg_7.jpg_710x360_c192d934.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0106y120009a1h6igB3B7_C_900_504_Q90_Mtg_7.jpg_710x360_d3b2f09d.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0105r120009a1gw7hE2FC_C_900_504_Q90_Mtg_7.jpg_710x360_c679f66f.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/01062120009a1h6ifCE8E_C_900_504_Q90_Mtg_7.jpg_710x360_52136b93.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0103z120009a1gw7f3D85_C_900_504_Q90_Mtg_7.jpg_710x360_bc9dd2f8.jpg〇https://imgs.qunarzz.com/sight/p0/2202/f7/f71d6893e869ff2fa3.img.jpg_710x360_69a030f2.jpg〇https://imgs.qunarzz.com/sight/p0/2202/8f/8f9bd62d4cdd4263a3.img.jpg_710x360_8a1ecb35.jpg〇https://imgs.qunarzz.com/sight/p0/2202/58/58031b14c12dba55a3.img.jpg_710x360_988c0a38.jpg〇https://imgs.qunarzz.com/sight/p0/2202/d7/d7de0e5a713073aaa3.img.jpg_710x360_781d2756.jpg〇https://imgs.qunarzz.com/sight/p0/2202/74/740569e97ac0d83ea3.img.jpg_710x360_f3d807f7.jpg〇https://imgs.qunarzz.com/sight/p0/2202/1d/1dc24dc9b9fc3e1ea3.img.jpg_710x360_bb550062.jpg〇https://imgs.qunarzz.com/sight/p0/2202/90/90fc841f21b0ea1ea3.img.jpg_710x360_3c626d3f.jpg〇https://imgs.qunarzz.com/sight/p0/2202/70/702ee884ce49d452a3.img.jpg_710x360_02d6af22.jpg〇https://imgs.qunarzz.com/sight/p0/2202/61/6163d590f3a531baa3.img.jpg_710x360_45e99691.jpg〇https://imgs.qunarzz.com/sight/p0/2202/e5/e571b3de2cd746bca3.img.jpg_710x360_d7cd2264.jpg〇https://imgs.qunarzz.com/sight/p0/2202/f8/f85f3b3d211fe748a3.img.jpg_710x360_d0c942fe.jpg〇https://imgs.qunarzz.com/sight/p0/2202/66/6691560d9449c7d2a3.img.jpg_710x360_87728d9d.jpg〇https://imgs.qunarzz.com/sight/p0/2202/88/8892a370e63d7ce8a3.img.jpg_710x360_1e08a078.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
水东街传统骑楼,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/10061h000001hr5b5E13A_C_900_504.jpg_280x200_c09f6f68.jpg,惠州市,惠城区,广东省惠州市惠城区惠水东西路40号东北方向107米,-1,-1.0,N/A,https://piao.qunar.com/ticket/detail_2495011281.html?st=a3clM0QlRTYlODMlQTAlRTUlOUYlOEUlRTUlOEMlQkElMjZpZCUzRDUxMDAxOSUyNnR5cGUlM0QwJTI2aWR4JTNEMTclMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,N/A,暂无,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/10061h000001hr5b5E13A_C_900_504.jpg_710x360_45147686.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
东道茶园露营地,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0100b120009c64fo48F17_C_900_504.jpg_280x200_89b58350.jpg,惠州市,惠城区,广东省惠州市惠城区东道羽茶里王国附近,-1,-1.0,"离市区很近,心离城市很远",https://piao.qunar.com/ticket/detail_3662028581.html?st=a3clM0QlRTYlODMlQTAlRTUlOUYlOEUlRTUlOEMlQkElMjZpZCUzRDUxNDI2OSUyNnR5cGUlM0QwJTI2aWR4JTNEMTYlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,原生态的自然，也有绚烂的日落。轻装上阵，约上三五好友，到大自然尽情玩乐有美食相伴，看电影喝酒侃大山happy到第二天才回家，给自己充电放松的一天！,1/1-12/31；周一至周日；12:00-22:00开园,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0100b120009c64fo48F17_C_900_504.jpg_710x360_f2738e41.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/01010120009c64biy4C04_C_900_504_Q90_Mtg_7.jpg_710x360_60cddbcb.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0103g120009c646303FC7_C_900_504_Q90_Mtg_7.jpg_710x360_28faa2a4.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0100q120009c64kh2D694_C_900_504_Q90_Mtg_7.jpg_710x360_c42b0533.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0104s120009c64bx7742A_C_900_504_Q90_Mtg_7.jpg_710x360_0cf8e059.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0104j120009c6443o372F_C_900_504_Q90_Mtg_7.jpg_710x360_c068b7ce.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0105v120009c64guh273C_C_900_504_Q90_Mtg_7.jpg_710x360_8a8a24f4.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0100b120009c64fo48F17_C_900_504_Q90_Mtg_7.jpg_710x360_52f5f256.jpg〇https://imgs.qunarzz.com/sight/p0/2203/bc/bcc7195082ab387da3.img.jpg_710x360_4abe907a.jpg〇https://imgs.qunarzz.com/sight/p0/2203/e1/e18ac6955ae15d59a3.img.jpg_710x360_874412b5.jpg〇https://imgs.qunarzz.com/sight/p0/2203/6c/6cb7e179e81a6a31a3.img.jpg_710x360_1b3486fa.jpg〇https://imgs.qunarzz.com/sight/p0/2203/80/804c55724057728ba3.img.jpg_710x360_bba903c1.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
老司机丛林越野俱乐部,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/01057120009jkuz8m0738_C_900_504_Q90_Mtg_7.jpg_280x200_08b814ad.jpg,惠州市,惠城区,惠州市惠城区雅居乐·白鹭湖,-1,-1.0,N/A,https://piao.qunar.com/ticket/detail_944353818.html?st=a3clM0QlRTYlODMlQTAlRTUlOUYlOEUlRTUlOEMlQkElMjZpZCUzRDUzOTA3MyUyNnR5cGUlM0QwJTI2aWR4JTNEMzAlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,N/A,暂无,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/01057120009jkuz8m0738_C_900_504_Q90_Mtg_7.jpg_710x360_a327b747.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
中国农民画博物馆,https://imgs.qunarzz.com/sight/p0/1705/b1/b1c2d730ca94ce5ba3.water.jpg_280x200_1a0fef86.jpg,惠州市,龙门县,广东省惠州市龙门县天然温泉度假村附近,2,5.0,集农民画展示、培训、会议一体的主题博物馆,https://piao.qunar.com/ticket/detail_175832381.html?st=a3clM0QlRTklQkUlOTklRTklOTclQTglRTUlOEUlQkYlMjZpZCUzRDQ2MzYyMyUyNnR5cGUlM0QwJTI2aWR4JTNEMzAlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,中国农民画博物馆是全国60多个著名的农民画乡中，少数得到民营企业投资建设的农民画博物馆；是尚天然集团国际温泉小镇十年建设规划中的三期建设——农民画文化产业园的主题与核心！中国农民画博物馆，坐落在风景优美的惠州龙门尚天然国际温泉小镇，由深圳大学建筑设计研究院规划设计，运用对称、和谐的布局风格。集合地形特点，取东南朝向，以南北中轴线为中心进行布局，彰显岭南特色建筑。目前，中国农民画博物馆设有中国龙门农民画（陈列展）发展史展厅、龙门农民画（精品展）精品展示厅、农民画展销厅、农民画衍生产品展厅、龙门农民客厅、多*能会议中心、商务活动中心以及办公、娱乐、仓储、休息、用餐等配套设施。是农民画创作、交易、拍卖、学术交流等文化基地。主要征集、典藏、陈列和研究中国农民画，举办农民画相关的活动、赛事、拍卖以及为公众和相关学者提供知识、教育和欣赏农民画的场所。同时还可举办大中型会议、研讨、展览、宴会、学术交流、就餐、娱乐等活动。是一个集农民画展示、培训、及会议为一体*能齐备的主题博物馆。,暂无,https://imgs.qunarzz.com/sight/p0/1705/b1/b1c2d730ca94ce5ba3.water.jpg_710x360_4cb8c45a.jpg〇https://imgs.qunarzz.com/sight/p0/1705/65/65d2be5496d0f280a3.water.jpg_710x360_23f1abf5.jpg〇https://imgs.qunarzz.com/sight/p0/1705/58/584375066dd7715ca3.water.jpg_710x360_74b3779f.jpg〇https://imgs.qunarzz.com/sight/p0/1705/b2/b2c2055461accccfa3.water.jpg_710x360_7e844a17.jpg〇https://imgs.qunarzz.com/sight/p0/1705/3b/3bb54eb0e0bbc8f3a3.water.jpg_710x360_bc551562.jpg〇https://imgs.qunarzz.com/sight/p0/1705/94/9471eae059ecd5bca3.water.jpg_710x360_c58e4663.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 1, ""tagScore"": 5, ""tagNum"": 2, ""tagName"": ""\u597d\u8bc4""}, {""tagType"": 0, ""tagScore"": 5, ""tagNum"": 2, ""tagName"": ""\u5168\u90e8""}], ""commentList"": [{""author"": ""\u5927*\u7b28"", ""content"": ""\u7528\u6237\u672a\u70b9\u8bc4\uff0c\u7cfb\u7edf\u9ed8\u8ba4\u597d\u8bc4\u3002"", ""date"": ""2023-08-11"", ""score"": 5, ""commentId"": ""227216064"", ""imgs"": [], ""userNickName"": ""\u5927*\u7b28"", ""replyCityName"": """", ""cityName"": """"}, {""author"": ""a*0"", ""content"": ""\u7528\u6237\u672a\u70b9\u8bc4\uff0c\u7cfb\u7edf\u9ed8\u8ba4\u597d\u8bc4\u3002"", ""date"": ""2023-07-24"", ""score"": 5, ""commentId"": ""226763505"", ""imgs"": [], ""userNickName"": ""a*0"", ""replyCityName"": """", ""cityName"": """"}], ""score"": 5.0, ""commentCount"": 2}, ""statusCode"": 200}"
富力卡丁车&真人CS,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/010701200097rhxoo6A5B_C_900_504.jpg_280x200_876fb9eb.jpg,惠州市,龙门县,惠州市龙门县永汉镇马星村富力养生谷湿地公园,1,5.0,N/A,https://piao.qunar.com/ticket/detail_2050846068.html?st=a3clM0QlRTklQkUlOTklRTklOTclQTglRTUlOEUlQkYlMjZpZCUzRDUxNTE0OSUyNnR5cGUlM0QwJTI2aWR4JTNEMTUlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,138.0,N/A,N/A,1/1-12/31；周一至周日；09:00-18:00开园,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/010701200097rhxoo6A5B_C_900_504.jpg_710x360_4b3cd634.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 1, ""tagScore"": 5, ""tagNum"": 1, ""tagName"": ""\u597d\u8bc4""}, {""tagType"": 0, ""tagScore"": 5, ""tagNum"": 1, ""tagName"": ""\u5168\u90e8""}], ""commentList"": [{""author"": ""\u9e70*\u7a7a"", ""content"": ""\u7528\u6237\u672a\u70b9\u8bc4\uff0c\u7cfb\u7edf\u9ed8\u8ba4\u597d\u8bc4\u3002"", ""date"": ""2022-11-03"", ""score"": 5, ""commentId"": ""223701454"", ""imgs"": [], ""userNickName"": ""\u9e70*\u7a7a"", ""replyCityName"": """", ""cityName"": """"}], ""score"": 5.0, ""commentCount"": 1}, ""statusCode"": 200}"
风速卡丁车俱乐部,https://imgs.qunarzz.com/sight/p0/2109/12/12e6a8185a1d1351a3.img.jpg_280x200_a5353152.jpg,惠州市,惠城区,惠州市惠城区龙丰上排喜客隆广场五楼,-1,-1.0,"来一场说走就走的赛车，刺激带感的弯道赛车，少年、儿童卡丁车娱乐驾驶
赛场上挥洒汗水，享受速度与激情",https://piao.qunar.com/ticket/detail_1002294178.html?st=a3clM0QlRTYlODMlQTAlRTUlOUYlOEUlRTUlOEMlQkElMjZpZCUzRDUxMTczMSUyNnR5cGUlM0QwJTI2aWR4JTNEMTUlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,来一场说走就走的赛车，刺激带感的弯道赛车，少年、儿童卡丁车娱乐驾驶赛场上挥洒汗水，享受速度与激情,09:30-21:30,https://imgs.qunarzz.com/sight/p0/2109/12/12e6a8185a1d1351a3.img.jpg_710x360_151673c7.jpg〇https://imgs.qunarzz.com/sight/p0/2109/b0/b0803c55ce4b20d8a3.img.jpg_710x360_8dd86de5.jpg〇https://imgs.qunarzz.com/sight/p0/2109/2e/2e0c1e33d6107c8ea3.img.jpg_710x360_e0607a30.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
