景点名称,景点图片,city,county,景点地址,景点参观人数,景点评分,景点短语,景点链接,景点最低价格,景点等级,景点详细信息,景点开放时间,景点图片合集,json
江门市颠倒博物馆,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png,江门市,蓬江区,广东省江门市丰乐路140号江门奥园广场三楼L3-09号铺,-1,-1.0,N/A,https://piao.qunar.com/ticket/detail_4167803784.html?st=a3clM0QlRTglOTMlQUMlRTYlQjElOUYlRTUlOEMlQkElMjZpZCUzRDUzNTcyNSUyNnR5cGUlM0QwJTI2aWR4JTNEMjAlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,N/A,1/1-12/31；周一至周日；10:00-21:45开园,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_710x360_c2302e12.png,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
月亮湾生态漂流,https://imgs.qunarzz.com/sight/p0/201307/25/5d82dfd37fde05bcc8d65eac.jpg_280x200_255655af.jpg,江门市,台山市,广东省江门市台山端芬镇西部山区大隆洞景区凤凰峡漂流度假村内,-1,-1.0,奇石飞舟，凌波逐浪，是真正的漂流圣地,https://piao.qunar.com/ticket/detail_1373479211.html?st=a3clM0QlRTUlOEYlQjAlRTUlQjElQjElRTUlQjglODIlMjZpZCUzRDE5MjA4MyUyNnR5cGUlM0QwJTI2aWR4JTNENDUlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,全程1.6公里，顺流而下，四周山峦起伏，奇峰异石；峡谷峭岩跌宕，鬼斧神工；河道石貌多姿，溪水清澈；两岸林茂竹翠，花香鸟语；沿途飞瀑奇岩，清溪幽泉，组成一幅美妙的 大自然图画，恍如置身桃花源中，步入人间仙境。漂流过程中让你领略 大自然的风采，植被茂盛。在此连绵起伏的山峦中间，穿流着从岩缝中 渗出会聚的泉水，集泉成溪，在山峡中穿石绕壁，川流不息。由双人充 气漂流艇，沿着青山碧水、无限风光中漂流直下。两岸绿竹摇风，野树 嬉阳。中途景色，集瀑布、深潭、奇石、密林、珍稀植物，自然景色之 美令人为之惊叹。,暂无,https://imgs.qunarzz.com/sight/p0/201307/25/5d82dfd37fde05bcc8d65eac.jpg_710x360_1e34efa9.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
寻皇千岛湖,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/01058120008e65v018F89_C_900_504.jpg_280x200_16063954.jpg,江门市,台山市,江门市台山市端芬镇寻皇村果场坪1号,-1,-1.0,景区位于广东省-台山市端芬镇-寻皇村，大隆洞水库西边，周边绿水环绕，众山相伴，138个绿树婆娑的小岛错落在湖中，构造成一,https://piao.qunar.com/ticket/detail_2056825221.html?st=a3clM0QlRTUlOEYlQjAlRTUlQjElQjElRTUlQjglODIlMjZpZCUzRDUxMTcyMCUyNnR5cGUlM0QwJTI2aWR4JTNEMzAlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,景区位于广东省-台山市端芬镇-寻皇村，大隆洞水库西边，周边绿水环绕，众山相伴，138个绿树婆娑的小岛错落在湖中，构造成一副壮观，优美的自然山水画，因此有“千岛湖”之称。露营设施齐全，是广东露营好去处。这里有千岛风光，这里有风车云海，这里绿草如茵，花儿朵朵开，溪水淙淙，虫儿啾啾，小鱼穿梭游戈，清风满树林，湖水碧波荡漾，这里与繁华无关，却与天地相连，让您拥抱大自然！这是一个藏在大深山里的打卡圣地，周边绿水环绕，众山相伴，138个绿树婆娑的小岛错落在湖中，构造成一副壮观优美的自然山水画。,1/1-12/31；周一至周日；07:30-19:30开园,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/01058120008e65v018F89_C_900_504.jpg_710x360_cdd4002d.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0105o120008e65zyuB709_C_900_504_Q90_Mtg_7.jpg_710x360_f5f21021.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/01024120008e65zyqF744_C_900_504_Q90_Mtg_7.jpg_710x360_6d4bab62.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/01073120008e65tuqC81D_C_900_504_Q90_Mtg_7.jpg_710x360_7fdb19fc.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0104k120008e662ju339E_C_900_504_Q90_Mtg_7.jpg_710x360_aa762496.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/01032120008e661y801FA_C_900_504_Q90_Mtg_7.jpg_710x360_3b285756.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0103q120008e65w9iC9F9_C_900_504_Q90_Mtg_7.jpg_710x360_93d2cf90.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/01046120008e65zo230AB_C_900_504_Q90_Mtg_7.jpg_710x360_25d5b45e.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0105y120008e65zo4CD93_C_900_504_Q90_Mtg_7.jpg_710x360_74b15749.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/01059120008e65un69EC5_C_900_504_Q90_Mtg_7.jpg_710x360_9667a5a2.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/01058120008e65v018F89_C_900_504_Q90_Mtg_7.jpg_710x360_5fa03918.jpg〇https://imgs.qunarzz.com/sight/p0/2109/78/78eaa123af318649a3.img.jpg_710x360_e0392d5f.jpg〇https://imgs.qunarzz.com/sight/p0/2109/32/321ab329c5caeb19a3.img.jpg_710x360_57cb98ea.jpg〇https://imgs.qunarzz.com/sight/p0/2109/88/88250a9d7474c420a3.img.jpg_710x360_f8f7ce95.jpg〇https://imgs.qunarzz.com/sight/p0/2109/ba/ba11fde75822a44ca3.img.jpg_710x360_31b5dfa0.jpg〇https://imgs.qunarzz.com/sight/p0/2109/8e/8e0d7316fcb19ac3a3.img.jpg_710x360_d0d0c78d.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
下川岛王府洲旅游度假区,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/100r0q000000g9tkh1381_C_900_504.jpg_280x200_f092e45f.jpg,江门市,台山市,江门市台山市川岛镇(南澳村旁),297,5.0,踏浪戏沙海边烧烤,https://piao.qunar.com/ticket/detail_104042040.html?st=a3clM0QlRTUlOEYlQjAlRTUlQjElQjElRTUlQjglODIlMjZpZCUzRDE5MTA3NSUyNnR5cGUlM0QwJTI2aWR4JTNEMTUlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,167.0,N/A,下川岛王府洲沙滩，位于广东省台山市下川岛的南部，沙滩长1.6公里，王府洲旅游中心食、住、行、玩配套完善，陆岛客运有旅游快船和豪华巴士，是理想的度假圣地。王府洲岛，位于南澳湾东南面约1海里，与王府洲旅游中心隔海相望，面积1.86平方公里。岛上风光旖旎，青山碧岭，气候宜人。,09/11-04/15；周一至周日；08:00-17:30开园；（17:00停止入园）,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/100r0q000000g9tkh1381_C_900_504.jpg_710x360_99a65444.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/100i0q000000ga7uqF6C3_C_900_504_Q90_Mtg_7.jpg_710x360_0ef41f90.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/01052120008fyzq8q09F4_C_900_504_Q90_Mtg_7.jpg_710x360_90a536bb.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/100h0q000000gcpz21693_C_900_504_Q90_Mtg_7.jpg_710x360_eb555c7b.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/100r0q000000g9tkeE2E6_C_900_504_Q90_Mtg_7.jpg_710x360_757b3312.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/100j0q000000gaws444B5_C_900_504_Q90_Mtg_7.jpg_710x360_e9bccd30.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/100m0q000000gkji5DBAE_C_900_504_Q90_Mtg_7.jpg_710x360_6e6e2c88.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/100p0q000000g9wje57E2_C_900_504_Q90_Mtg_7.jpg_710x360_31441d10.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/100q0q000000gcnmeE589_C_900_504_Q90_Mtg_7.jpg_710x360_1b9bad75.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/100s0q000000gi9z583E9_C_900_504_Q90_Mtg_7.jpg_710x360_16ec5261.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/100r0q000000g9tkh1381_C_900_504_Q90_Mtg_7.jpg_710x360_8fd5d4df.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/eb8e94ca2f94af52f9d8861274f878e8.jpg_710x360_e39b3236.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/45dd684b883bf9ebfb03f804c5304e2f.jpg_710x360_a2a07a67.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/005855dd5808e64fc8d65eac.jpg_710x360_02d97544.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 32, ""tagScore"": 5, ""tagNum"": 1, ""tagName"": ""\u670d\u52a1\u597d""}, {""tagType"": 16, ""tagScore"": 5, ""tagNum"": 3, ""tagName"": ""\u9760\u8c31""}, {""tagType"": 8, ""tagScore"": 5, ""tagNum"": 2, ""tagName"": ""\u4fbf\u5b9c""}, {""tagType"": 4, ""tagScore"": 5, ""tagNum"": 3, ""tagName"": ""\u53d6\u7968\u65b9\u4fbf""}, {""tagType"": 3, ""tagScore"": 5, ""tagNum"": 1, ""tagName"": ""\u5dee\u8bc4""}, {""tagType"": 1, ""tagScore"": 5, ""tagNum"": 296, ""tagName"": ""\u597d\u8bc4""}, {""tagType"": 0, ""tagScore"": 5, ""tagNum"": 297, ""tagName"": ""\u5168\u90e8""}], ""commentList"": [{""author"": ""\u53bb*\u6237"", ""content"": ""\u7528\u6237\u672a\u70b9\u8bc4\uff0c\u7cfb\u7edf\u9ed8\u8ba4\u597d\u8bc4\u3002"", ""date"": ""2024-12-01"", ""score"": 5, ""commentId"": ""239030194"", ""imgs"": [], ""userNickName"": ""\u53bb*\u6237"", ""replyCityName"": """", ""cityName"": """"}, {""author"": ""n*3"", ""content"": ""\u7528\u6237\u672a\u70b9\u8bc4\uff0c\u7cfb\u7edf\u9ed8\u8ba4\u597d\u8bc4\u3002"", ""date"": ""2024-12-01"", ""score"": 5, ""commentId"": ""239029429"", ""imgs"": [], ""userNickName"": ""n*3"", ""replyCityName"": """", ""cityName"": """"}, {""author"": ""\u5c71*\u54e5"", ""content"": ""\u7528\u6237\u672a\u70b9\u8bc4\uff0c\u7cfb\u7edf\u9ed8\u8ba4\u597d\u8bc4\u3002"", ""date"": ""2024-12-01"", ""score"": 5, ""commentId"": ""239028845"", ""imgs"": [], ""userNickName"": ""\u5c71*\u54e5"", ""replyCityName"": """", ""cityName"": """"}, {""author"": ""\u53f6*\u8c6a"", ""content"": ""\u7528\u6237\u672a\u70b9\u8bc4\uff0c\u7cfb\u7edf\u9ed8\u8ba4\u597d\u8bc4\u3002"", ""date"": ""2024-12-01"", ""score"": 5, ""commentId"": ""239028117"", ""imgs"": [], ""userNickName"": ""\u53f6*\u8c6a"", ""replyCityName"": """", ""cityName"": """"}, {""author"": ""i*6"", ""content"": ""\u7528\u6237\u672a\u70b9\u8bc4\uff0c\u7cfb\u7edf\u9ed8\u8ba4\u597d\u8bc4\u3002"", ""date"": ""2024-12-01"", ""score"": 5, ""commentId"": ""239024667"", ""imgs"": [], ""userNickName"": ""i*6"", ""replyCityName"": """", ""cityName"": """"}, {""author"": ""\u53bb*\u6237"", ""content"": ""\u7528\u6237\u672a\u70b9\u8bc4\uff0c\u7cfb\u7edf\u9ed8\u8ba4\u597d\u8bc4\u3002"", ""date"": ""2024-12-01"", ""score"": 5, ""commentId"": ""239024600"", ""imgs"": [], ""userNickName"": ""\u53bb*\u6237"", ""replyCityName"": """", ""cityName"": """"}, {""author"": ""A*5"", ""content"": ""\u7528\u6237\u672a\u70b9\u8bc4\uff0c\u7cfb\u7edf\u9ed8\u8ba4\u597d\u8bc4\u3002"", ""date"": ""2024-12-01"", ""score"": 5, ""commentId"": ""239021824"", ""imgs"": [], ""userNickName"": ""A*5"", ""replyCityName"": """", ""cityName"": """"}, {""author"": ""\u53bb*\u6237"", ""content"": ""\u7528\u6237\u672a\u70b9\u8bc4\uff0c\u7cfb\u7edf\u9ed8\u8ba4\u597d\u8bc4\u3002"", ""date"": ""2024-12-01"", ""score"": 5, ""commentId"": ""239021707"", ""imgs"": [], ""userNickName"": ""\u53bb*\u6237"", ""replyCityName"": """", ""cityName"": """"}, {""author"": ""\u53bb*\u6237"", ""content"": ""\u7528\u6237\u672a\u70b9\u8bc4\uff0c\u7cfb\u7edf\u9ed8\u8ba4\u597d\u8bc4\u3002"", ""date"": ""2024-12-01"", ""score"": 5, ""commentId"": ""239021693"", ""imgs"": [], ""userNickName"": ""\u53bb*\u6237"", ""replyCityName"": """", ""cityName"": """"}, {""author"": ""\u53bb*\u6237"", ""content"": ""\u7528\u6237\u672a\u70b9\u8bc4\uff0c\u7cfb\u7edf\u9ed8\u8ba4\u597d\u8bc4\u3002"", ""date"": ""2024-12-01"", ""score"": 5, ""commentId"": ""239021535"", ""imgs"": [], ""userNickName"": ""\u53bb*\u6237"", ""replyCityName"": """", ""cityName"": """"}], ""score"": 5.0, ""commentCount"": 297}, ""statusCode"": 200}"
飞鹰丛林越野俱乐部,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0105e12000aev29l91614_C_900_504.jpg_280x200_98ef4234.jpg,江门市,开平市,广东省江门市开平市月山镇水四獭山村561县道春风十里桑果园内,-1,-1.0,N/A,https://piao.qunar.com/ticket/detail_3924842856.html?st=a3clM0QlRTUlQkMlODAlRTUlQjklQjMlRTUlQjglODIlMjZpZCUzRDUzOTU1MCUyNnR5cGUlM0QwJTI2aWR4JTNENDMlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,N/A,具体营业状态以当天开放情况为准,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0105e12000aev29l91614_C_900_504.jpg_710x360_86f2f2c4.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
适庐,https://imgs.qunarzz.com/sight/p94/201211/06/fd9c0b2ae87b3a3d93835fbb.jpg_280x200_8303a0ba.jpg,江门市,开平市,广东省江门市开平市百合镇厚山村开平碉楼,-1,-1.0,堪称“三合土”碉楼的代表作,https://piao.qunar.com/ticket/detail_565172242.html?st=a3clM0QlRTUlQkMlODAlRTUlQjklQjMlRTUlQjglODIlMjZpZCUzRDI0NjEzJTI2dHlwZSUzRDAlMjZpZHglM0QzMCUyNnF0JTNEJTI2YXBrJTNEMiUyNnNjJTNEV1dXJTI2dXIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZsciUzRCVFNCVCOCVBRCVFNSVCMSVCMSUyNmZ0JTNEJTdCJTdE#from=mpl_search_suggest,-1.0,N/A,位于百合镇厚山村委会虾边村村中，建于20世纪二十年代――虾边农会及中共地方党组织的活动据点。该楼的标准层3层，顶部亭阁2层，第4层正面为柱廊式，四角均有一个“燕子窝”，窝内均设有枪眼。顶层为欧洲城堡式。适庐古色古香，堪称“三合土”碉楼的代表作。,暂无,https://imgs.qunarzz.com/sight/p94/201211/06/fd9c0b2ae87b3a3d93835fbb.jpg_710x360_e54e5eea.jpg〇https://imgs.qunarzz.com/sight/p0/1412/b3/8fa532601abe9c2358a3715f3e7a5d52.water.jpg_710x360_97ab85f6.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
马降龙村落,https://imgs.qunarzz.com/sight/p19/201211/09/3a672d3c86286d0b93835fbb.jpg_280x200_8cffb23b.jpg,江门市,开平市,广东省江门市开平市百合镇,3,5.0,村中翠竹森森，绿树成荫，宛如人间仙境,https://piao.qunar.com/ticket/detail_1744615959.html?st=a3clM0QlRTUlQkMlODAlRTUlQjklQjMlRTUlQjglODIlMjZpZCUzRDE2MzYlMjZ0eXBlJTNEMCUyNmlkeCUzRDE1JTI2cXQlM0QlMjZhcGslM0QyJTI2c2MlM0RXV1clMjZ1ciUzRCVFNCVCOCVBRCVFNSVCMSVCMSUyNmxyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2ZnQlM0QlN0IlN0Q%3D#from=mpl_search_suggest,-1.0,N/A,马降龙村落是开平碉楼申遗的四个提名点之一，其隶属开平市百合镇，东北距开平市区15千米，坐落在潭江东岸的河谷平原，背靠气势磅礴的百足山，面临清澈如镜的潭江水，5条自然村像一条珠链，错落有致地分布在青山绿水之间。该村由永安、南安、河东、庆临、龙江5条自然村组成，为黄、关两姓家族于清朝末年和民国初年兴建。现有村民171户、506人，海外侨胞多于国内人口，分布在美国、加拿大、澳大利亚等国，该村80％为侨户。,01/01-12/31,https://imgs.qunarzz.com/sight/p19/201211/09/3a672d3c86286d0b93835fbb.jpg_710x360_63e278bc.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 1, ""tagScore"": 5, ""tagNum"": 3, ""tagName"": ""\u597d\u8bc4""}, {""tagType"": 0, ""tagScore"": 5, ""tagNum"": 3, ""tagName"": ""\u5168\u90e8""}], ""commentList"": [{""author"": ""l*5"", ""content"": ""\u7528\u6237\u672a\u70b9\u8bc4\uff0c\u7cfb\u7edf\u9ed8\u8ba4\u597d\u8bc4\u3002"", ""date"": ""2019-08-14"", ""score"": 5, ""commentId"": ""211552104"", ""imgs"": [], ""userNickName"": ""l*5"", ""replyCityName"": """", ""cityName"": """"}, {""author"": ""i*0"", ""content"": ""\u7528\u6237\u672a\u70b9\u8bc4\uff0c\u7cfb\u7edf\u9ed8\u8ba4\u597d\u8bc4\u3002"", ""date"": ""2018-10-09"", ""score"": 5, ""commentId"": ""208111601"", ""imgs"": [], ""userNickName"": ""i*0"", ""replyCityName"": """", ""cityName"": """"}, {""author"": ""e*0"", ""content"": ""\u7528\u6237\u672a\u70b9\u8bc4\uff0c\u7cfb\u7edf\u9ed8\u8ba4\u597d\u8bc4\u3002"", ""date"": ""2018-03-30"", ""score"": 5, ""commentId"": ""205732561"", ""imgs"": [], ""userNickName"": ""e*0"", ""replyCityName"": """", ""cityName"": """"}], ""score"": 5.0, ""commentCount"": 3}, ""statusCode"": 200}"
岑洞水上乐园,https://imgs.qunarzz.com/sight/p0/201308/19/7162c904022f0644c8d65eac.jpg_280x200_fbf09331.jpg,江门市,恩平市,广东省江门恩平市大田镇岑洞原始森林保护区内,-1,-1.0,炎炎夏日，唱响激情夏日，占地5万平方米的水上乐园，清澈的山泉水，先进刺激又好玩又安全的水上游乐设施，既适合家人朋友游玩，,https://piao.qunar.com/ticket/detail_1982591180.html?st=a3clM0QlRTYlODElQTklRTUlQjklQjMlRTUlQjglODIlMjZpZCUzRDE5MjIzMyUyNnR5cGUlM0QwJTI2aWR4JTNEMzIlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,炎炎夏日，唱响激情夏日，占地5万平方米的水上乐园，清澈的山泉水，先进刺激又好玩又安全的水上游乐设施，既适合家人朋友游玩，也适合情侣共度假日，消暑降温，也能增进批次感情。,01/01-12/31；13:00-17:30开园,https://imgs.qunarzz.com/sight/p0/201308/19/7162c904022f0644c8d65eac.jpg_710x360_283c9605.jpg〇https://imgs.qunarzz.com/sight/p0/1611/3b/3b93a9bcb015341ea3.water.jpg_710x360_a7940bbd.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
稻花香里生态乐园,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/CghzgVW7H_mAH93mAAA_kl5amJk965_C_900_504.jpg_280x200_d20b6f8d.jpg,江门市,新会区,广东省江门市新会区Y249(东成街),-1,-1.0,江门市新会区司前镇稻花香里生态园，一家人共享亲子时光、得到一次纯粹的快乐之外，还能通过游戏教导孩子树立正确的价值观！,https://piao.qunar.com/ticket/detail_2017304691.html?st=a3clM0QlRTYlOTYlQjAlRTQlQkMlOUElRTUlOEMlQkElMjZpZCUzRDUxMjc2NSUyNnR5cGUlM0QwJTI2aWR4JTNEMzAlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,江门市新会区司前镇稻花香里生态园，一家人共享亲子时光、得到一次纯粹的快乐之外，还能通过游戏教导孩子树立正确的价值观！,1/1-12/31；周一至周日；09:00-18:00开园,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/CghzgVW7H_mAH93mAAA_kl5amJk965_C_900_504.jpg_710x360_a7f1d39f.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
茶庵公园,https://imgs.qunarzz.com/sight/p0/201302/25/f29732d6b7ea5697c8d65eac.jpg_280x200_940b82a9.jpg,江门市,江海区,广东省江门市江海区外海镇五马归槽山麓,-1,-1.0,是一处风景幽美的好去处,https://piao.qunar.com/ticket/detail_1299421743.html?st=a3clM0QlRTYlQjElOUYlRTYlQjUlQjclRTUlOEMlQkElMjZpZCUzRDUyNzElMjZ0eXBlJTNEMCUyNmlkeCUzRDEzJTI2cXQlM0QlMjZhcGslM0QyJTI2c2MlM0RXV1clMjZ1ciUzRCVFNCVCOCVBRCVFNSVCMSVCMSUyNmxyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2ZnQlM0QlN0IlN0Q%3D#from=mpl_search_suggest,-1.0,N/A,"庵寺是江门市郊一处著名的名胜古迹，座落于江海区外海镇的五马归槽山麓，距市区约十公里，相传唐朝天文学家、高僧一行禅师游岭南一带时，来到此地观察天象，绘制星图,在此结一小茅庐居住，以种茶度日，草庐名为“茶庵”。一行高僧俗名张遂（公元682一727年）,是我国古代伟大的天文学家,与祖宗之、张衡、李时珍齐名于世。一行高僧毕生致力于研究天文地理，漫游全国各地。唐中宗神龙初年，他到过新会县，喜爱外海的五马归槽山，便在山麓搭起茅庵居留下来，晚上观测天象、绘制星图，对天文地理气象作深入研究。茶庵附近一带的民众，十分敬仰一行高僧的学识与为人。明朝万历年间，外海地方有一位名叫陈吾德的进士，非常敬慕一行高僧的名望和*德，他倡议建造一座砖瓦结构的寺庙作为永久的纪念，此寺庙以一行高僧的小居“茶庵”为名。从此“茶庵寺”得名并流传现在。",暂无,https://imgs.qunarzz.com/sight/p0/201302/25/f29732d6b7ea5697c8d65eac.jpg_710x360_96cd8f7b.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/6d610140-8b90-4d4e-97a4-a7371d5eb78c.jpg_710x360_3a250572.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0618a7a02d3c2573f3fe4a5a708557cc.jpg_710x360_b183d411.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/c4a5c5776bfb2637.jpg_710x360_910d55d8.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
