景点名称,景点图片,city,county,景点地址,景点参观人数,景点评分,景点短语,景点链接,景点最低价格,景点等级,景点详细信息,景点开放时间,景点图片合集,json
2024深圳100越野赛,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0103r12000g34fywg926C_C_900_504.png_280x200_26ef751d.png,深圳市,盐田区,大梅沙海滨广场大草坪,-1,-1.0,N/A,https://piao.qunar.com/ticket/detail_553157866.html?st=a3clM0QlRTclOUIlOTAlRTclOTQlQjAlRTUlOEMlQkElMjZpZCUzRDUzOTkzNiUyNnR5cGUlM0QwJTI2aWR4JTNENTclMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,N/A,12/27-12/29；周五至周日；待定,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0103r12000g34fywg926C_C_900_504.png_710x360_743d741d.png〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0104j12000fgv0dxg77AD_C_900_504_Q90_Mtg_7.jpg_710x360_5799bde5.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0103r12000g34fywg926C_C_900_504_Q90_Mtg_7.png_710x360_e515fc9e.png,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
三洲茶园,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/temp471257021766766002301031120008e2sniw331E_wmr.jpg_280x200_4e19446f.jpg,深圳市,盐田区,深圳市盐田区大梅沙东部华侨城茶溪谷景区内,-1,-1.0,三洲茶园是东部华侨城茶溪谷的一个景区。徜徉在茶田、丛林里，游走于栈道、吊桥上，走累了，随处小坐，全身心地体验天然氧吧的气,https://piao.qunar.com/ticket/detail_3227717003.html?st=a3clM0QlRTclOUIlOTAlRTclOTQlQjAlRTUlOEMlQkElMjZpZCUzRDUwODA0MCUyNnR5cGUlM0QwJTI2aWR4JTNENDUlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,三洲茶园是东部华侨城茶溪谷的一个景区。徜徉在茶田、丛林里，游走于栈道、吊桥上，走累了，随处小坐，全身心地体验天然氧吧的气息。该景点包括：竹乐谷、茶溪栈桥、热带雨林、栖霞回廊、竹溪索桥、丹枫拱桥、枫溪藤桥、无忧廊桥、林溪云桥、茶岭长廊、闻香长廊、竹溪栈道、红羽栈道、药草亭、问茶亭、卧虹桥、望湖亭、风语亭、秋千荡、魔棋阵、九曲十八弯、茶马古道、跃马坪。茶园为三个大区：寻幽竹溪区、闻香茶岭区、森林探秘区。畅游三洲茶园需要步行比较长的时间。可以沿竹溪栈道去到九曲十八弯等更远的景点，沿茶园小径到茶园迷宫、奇趣坡等玩一玩，还可以沿红羽栈道漫步湿地。如果时间太仓促，可以在古镇上乘老爷车，或者在东部华侨城大剧院外包乘电瓶车游玩。,暂无,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/temp471257021766766002301031120008e2sniw331E_wmr.jpg_710x360_b5886f2f.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
深圳钢琴博物馆,https://imgs.qunarzz.com/sight/p0/1508/f8/c0a40f1d0c4c87c8947bb579e8b1990d.water.jpg_280x200_69cc73ed.jpg,深圳市,福田区,广东省深圳市福田区上步南路1002号国企大厦永富楼A楼22C(南园路口),-1,-1.0,国内第二家、广东省首家专业钢琴博物馆,https://piao.qunar.com/ticket/detail_4238992805.html?st=a3clM0QlRTclQTYlOEYlRTclOTQlQjAlRTUlOEMlQkElMjZpZCUzRDQ1NDU1NCUyNnR5cGUlM0QwJTI2aWR4JTNEMTA0JTI2cXQlM0QlMjZhcGslM0QyJTI2c2MlM0RXV1clMjZ1ciUzRCVFNCVCOCVBRCVFNSVCMSVCMSUyNmxyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2ZnQlM0QlN0IlN0Q%3D#from=mpl_search_suggest,-1.0,N/A,深圳钢琴博物馆创建于2008年，是国内第二家、广东省首家专业钢琴博物馆。其位于深圳市上步南路乐器城，场馆总面积1200多平方米，以收藏18世纪末至20世纪初来自美国、德国、俄罗斯、法国、意大利、中国等地的极具时代特点和艺术性的古钢琴为主，现有古钢琴46架。馆区共分为实物展区、图片展区、表演区，利用电、光、声等先进技术，采用巴洛克设计风格装潢，为社会公众及广大音乐爱好者提供了一处在鉴赏音乐文化的同时，也能回溯钢琴制造工艺和发展历史的文化领地。依托于深圳得天独厚的钢琴文化环境，钢琴博物馆的建立在推动钢琴艺术文化，传承百年音乐经典的同时，也提升了深圳“钢琴之都”的产业化建设，扩大深圳钢琴文化的国际影响力，向世界呈现出深圳这座城市与钢琴优雅风情的艺术融合。,01/01-12/31；9:00-18:00开园,https://imgs.qunarzz.com/sight/p0/1508/f8/c0a40f1d0c4c87c8947bb579e8b1990d.water.jpg_710x360_1cae45fb.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/aba46e41d15d3837.jpg_710x360_ac548ebb.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
【深圳】孟京辉戏剧作品《枪，谎言和玫瑰》,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png,深圳市,福田区,福保街道福强路3006号福田文化馆(地铁龙岗益田站),-1,-1.0,N/A,https://piao.qunar.com/ticket/detail_2151538307.html?st=a3clM0QlRTclQTYlOEYlRTclOTQlQjAlRTUlOEMlQkElMjZpZCUzRDUzMzE0MyUyNnR5cGUlM0QwJTI2aWR4JTNEMTUwJTI2cXQlM0QlMjZhcGslM0QyJTI2c2MlM0RXV1clMjZ1ciUzRCVFNCVCOCVBRCVFNSVCMSVCMSUyNmxyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2ZnQlM0QlN0IlN0Q%3D#from=mpl_search_suggest,-1.0,N/A,N/A,11/21-11/21；周四；20:00-22:00开园,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_710x360_c2302e12.png,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
映翠桥,https://imgs.qunarzz.com/sight/p0/1608/95/955993828ddafd2ba3.water.jpg_280x200_50652ac4.jpg,深圳市,福田区,深圳市福田区竹子林西深圳国际园林花卉博览园,-1,-1.0,园博园是由中华人民共和国建设部及深圳市人民政府共同主办的第五届中国国际园林花卉博览会（简称“园博会”）的举办地。 本届园,https://piao.qunar.com/ticket/detail_153168703.html?st=a3clM0QlRTclQTYlOEYlRTclOTQlQjAlRTUlOEMlQkElMjZpZCUzRDI1Nzk1JTI2dHlwZSUzRDAlMjZpZHglM0QxMjAlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,园博园是由中华人民共和国建设部及深圳市人民政府共同主办的第五届中国国际园林花卉博览会（简称“园博会”）的举办地。 本届园博会共有12个友好国家、国内67个友好城市及深圳的企业事业单位兴建的101个园林景点，向人们展示了仿若天仙的百幅画卷。园博园基建投资达2.35亿元，结合众多的各地园林景点，其总投资额高达5亿元，极大地带动了周边的园林绿化建筑市场的运转。 园博园建有上万平方米的综合展馆和花卉专业展馆两大展馆，是园博园举办各种科普、博览展览、科研的绝佳场所。 园内种植了1800多种奇花异草，以有野生品种、本土品种、国外引进驯化品种、北方品种、园艺栽培种、改良品种……有古树大树、硅化木、苗圃林……这些植物都充分融合了全国各地以及异国他乡的造园特色。 如美国休斯顿星球花园的野趣、日本园的严谨、巴基斯坦园的穆肃、肯尼亚园的朴素、玻利维亚园的艳丽、法国园的规整、印度园的神圣、尼泊尔的庄严、印尼园的怪兽石雕，还有加拿大月亮花园的片片枫叶，让人们倍感浓浓的异国风情。,暂无,https://imgs.qunarzz.com/sight/p0/1608/95/955993828ddafd2ba3.water.jpg_710x360_a0d6662e.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
深圳书画艺术学院,https://imgs.qunarzz.com/sight/p0/1503/31/31380111eebd5231.water.jpg_280x200_2ffc60bf.jpg,深圳市,福田区,广东深圳市福田区宏威路38号,-1,-1.0,成立于1987年7月,https://piao.qunar.com/ticket/detail_239267466.html?st=a3clM0QlRTclQTYlOEYlRTclOTQlQjAlRTUlOEMlQkElMjZpZCUzRDIxMzYyNiUyNnR5cGUlM0QwJTI2aWR4JTNEMTA1JTI2cXQlM0QlMjZhcGslM0QyJTI2c2MlM0RXV1clMjZ1ciUzRCVFNCVCOCVBRCVFNSVCMSVCMSUyNmxyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2ZnQlM0QlN0IlN0Q%3D#from=mpl_search_suggest,-1.0,N/A,深圳书画艺术学院（中国书画函授大学深圳分校）成立于1987年7月，是经深圳市政府批准、在深圳市教育局注册的社会办学机构，同中国书画函授大学是联合办学单位。,暂无,https://imgs.qunarzz.com/sight/p0/1503/31/31380111eebd5231.water.jpg_710x360_a413e847.jpg〇https://imgs.qunarzz.com/sight/p0/1503/97/97431887cbc7c12d.water.jpg_710x360_c6262d3b.jpg〇https://imgs.qunarzz.com/sight/p0/1503/cf/cf91f91eea4bf045.water.jpg_710x360_5985f9f6.jpg〇https://imgs.qunarzz.com/sight/p0/1503/eb/eb5112cf33e688f2.water.jpg_710x360_4819961a.jpg〇https://imgs.qunarzz.com/sight/p0/1503/ea/eaadfd68d0b383d.water.jpg_710x360_97641572.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
双晖稻田农场,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/01003120009pk9ukd52B6_C_900_504.jpg_280x200_cd1949bc.jpg,深圳市,光明区,广东省深圳市光明区新湖街道新羌社区142乡道华盛光明北农业基地,-1,-1.0,N/A,https://piao.qunar.com/ticket/detail_1414214914.html?st=a3clM0QlRTUlODUlODklRTYlOTglOEUlRTUlOEMlQkElMjZpZCUzRDUzOTM1NCUyNnR5cGUlM0QwJTI2aWR4JTNEMTMlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,N/A,1/1-12/31；周一至周日；09:00-18:00开园,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/01003120009pk9ukd52B6_C_900_504.jpg_710x360_22b4ecf7.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
【深圳】新裤子《北海怪兽》巡回演唱会,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png,深圳市,南山区,深圳市南山区滨海大道3001号春茧体育场,-1,-1.0,N/A,https://piao.qunar.com/ticket/detail_2615755844.html?st=a3clM0QlRTUlOEQlOTclRTUlQjElQjElRTUlOEMlQkElMjZpZCUzRDUzODQ2MCUyNnR5cGUlM0QwJTI2aWR4JTNEMjQxJTI2cXQlM0QlMjZhcGslM0QyJTI2c2MlM0RXV1clMjZ1ciUzRCVFNCVCOCVBRCVFNSVCMSVCMSUyNmxyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2ZnQlM0QlN0IlN0Q%3D#from=mpl_search_suggest,-1.0,N/A,N/A,3/16-3/16；周六；待定,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_710x360_c2302e12.png,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
2024深圳冰雪节,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png,深圳市,福田区,福田区印力中心下沉广场（福田山姆旁）,-1,-1.0,N/A,https://piao.qunar.com/ticket/detail_2272721739.html?st=a3clM0QlRTclQTYlOEYlRTclOTQlQjAlRTUlOEMlQkElMjZpZCUzRDUyNTM2OSUyNnR5cGUlM0QwJTI2aWR4JTNEOTAlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,N/A,暂无,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_710x360_c2302e12.png,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
梦幻星空5D网红科技馆（西乡店）,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png,深圳市,宝安区,深圳市宝安区西乡大道潮汕文化博览园3楼,-1,-1.0,梦幻星空5D网红科技馆（西乡店）是一个科技感十足的奇幻展馆，更是一场全感官的视觉盛宴，好看又好玩还能拍美照，轻松复现抖音,https://piao.qunar.com/ticket/detail_4215907524.html?st=a3clM0QlRTUlQUUlOUQlRTUlQUUlODklRTUlOEMlQkElMjZpZCUzRDUwNDU2NSUyNnR5cGUlM0QwJTI2aWR4JTNEMTIwJTI2cXQlM0QlMjZhcGslM0QyJTI2c2MlM0RXV1clMjZ1ciUzRCVFNCVCOCVBRCVFNSVCMSVCMSUyNmxyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2ZnQlM0QlN0IlN0Q%3D#from=mpl_search_suggest,-1.0,N/A,梦幻星空5D网红科技馆（西乡店）是一个科技感十足的奇幻展馆，更是一场全感官的视觉盛宴，好看又好玩还能拍美照，轻松复现抖音热播同款场景，让你瞬间拍出网红大片。网红拍照打卡圣地，网红星空艺术馆来西乡啦！不用出远门、出片率 100%，沉浸式体验主题，浪漫星空，给你纯真的美好。,全年周一至周日:10:00-22:00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_710x360_c2302e12.png,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
