景点名称,景点图片,city,county,景点地址,景点参观人数,景点评分,景点短语,景点链接,景点最低价格,景点等级,景点详细信息,景点开放时间,景点图片合集,json
幻境空间体验馆,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png,湛江市,霞山区,广东省湛江市霞山区人民西五路民大环宇天地2楼,-1,-1.0,N/A,https://piao.qunar.com/ticket/detail_3755360256.html?st=a3clM0QlRTklOUMlOUUlRTUlQjElQjElRTUlOEMlQkElMjZpZCUzRDUyNTgyOSUyNnR5cGUlM0QwJTI2aWR4JTNEMjMlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,N/A,暂无,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_710x360_c2302e12.png,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
观海长廊,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0106y120009d9v3b6116F_C_900_504.jpg_280x200_98483a47.jpg,湛江市,霞山区,湛江市霞山区观海路99号,-1,-1.0,欣赏种类丰富的棕榈植物,https://piao.qunar.com/ticket/detail_1984397978.html?st=a3clM0QlRTklOUMlOUUlRTUlQjElQjElRTUlOEMlQkElMjZpZCUzRDUyODcwNiUyNnR5cGUlM0QwJTI2aWR4JTNEMjIlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,N/A,1/1-12/31；周一至周日；全天开放,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0106y120009d9v3b6116F_C_900_504.jpg_710x360_1c03cc3f.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0106y120009d9v3b6116F_C_900_504_Q90_Mtg_7.jpg_710x360_8498f2d4.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
霞山天主教堂(天主教湛江教区),https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/temp12401952300467084464100f1f000001gq9baA4ED_wmr.jpg_280x200_06e93c0e.jpg,湛江市,霞山区,湛江市霞山区绿荫路85号,-1,-1.0,规模较大的哥特式教堂,https://piao.qunar.com/ticket/detail_2737100718.html?st=a3clM0QlRTklOUMlOUUlRTUlQjElQjElRTUlOEMlQkElMjZpZCUzRDUwOTY0MyUyNnR5cGUlM0QwJTI2aWR4JTNEMjElMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,霞山天主教堂是湛江市 唯 一 的哥特式教堂，也是全国重点教堂之一。主体建筑前墙外延20米至绿荫路；后墙外延6.8米至围墙；左墙外延6.1米至围墙；右墙外延23米至平房，面积2607.66平方米。建设控制地带：沿保护范围线，左、右、后三面各外延20米，前至绿荫路止。天主教堂里的奇花异叶“叉叶木”，在湛江市海滨公园内有五株叉叶木，又名十字架树。此五树有四株坐落在公园中北区，一株在南区娱乐城内。叉叶木果实硕大，椭圆形，表面光滑。十字架树已成为公园一大景观，游人到此，无不驻足观赏。法帝入侵湛江后，天主教随之而入，1900年法籍神父范兰在湛江主持教务期间，提出兴建教堂，1903年由教会筹资建成。砖石钢筋混凝土结构，双尖石塔，建筑面积约600平方米，大厅能容纳近干人，是当时华南地区具 规模的哥特式教堂。1991年列为市重点文物保护单位。,1/1-12/31；周一至周日；全天开放,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/temp12401952300467084464100f1f000001gq9baA4ED_wmr.jpg_710x360_6dd4f412.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
湛江市小象乐园(儿童公园店),https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo6m12000brq51fq0784_C_900_504.jpg_280x200_0dbffeb7.jpg,湛江市,霞山区,广东省湛江市霞山区解放东路17号,-1,-1.0,N/A,https://piao.qunar.com/ticket/detail_1047755146.html?st=a3clM0QlRTklOUMlOUUlRTUlQjElQjElRTUlOEMlQkElMjZpZCUzRDUyMjk2NiUyNnR5cGUlM0QwJTI2aWR4JTNEMTklMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,N/A,1/1-12/31；周一至周五；10:00-18:00开园,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo6m12000brq51fq0784_C_900_504.jpg_710x360_1e927b83.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo3r12000br4ndh02BDE_C_900_504_Q90_Mtg_7.jpg_710x360_573fb735.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo3512000br4n9c19FFE_C_900_504_Q90_Mtg_7.jpg_710x360_90c31c8a.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0106312000bbdk8ecA1C7_C_900_504_Q90_Mtg_7.jpg_710x360_fa82f370.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo4012000brpg7rf9428_C_900_504_Q90_Mtg_7.jpg_710x360_fad64d4c.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo3v12000brq4s70FFF0_C_900_504_Q90_Mtg_7.png_710x360_e390f863.png〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo1112000brq4xoj7C61_C_900_504_Q90_Mtg_7.jpg_710x360_4aa9f43a.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo5g12000br4mg48C513_C_900_504_Q90_Mtg_7.jpg_710x360_043b13db.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo4g12000br4n7uuB0CB_C_900_504_Q90_Mtg_7.jpg_710x360_7ea99151.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo1812000br4muy35FC6_C_900_504_Q90_Mtg_7.jpg_710x360_2df5cbab.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo6m12000brq51fq0784_C_900_504_Q90_Mtg_7.jpg_710x360_5dd464e3.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
湛江森林公园欢乐世界,https://imgs.qunarzz.com/sight/p0/1611/4e/4e3cc3483f3beac6a3.water.jpg_280x200_391eabfa.jpg,湛江市,霞山区,广东省湛江市霞山区西南3公里处,-1,-1.0,项目齐全、品味高、性能国内先进的游乐场,https://piao.qunar.com/ticket/detail_2206699848.html?st=a3clM0QlRTklOUMlOUUlRTUlQjElQjElRTUlOEMlQkElMjZpZCUzRDM3MjE3JTI2dHlwZSUzRDAlMjZpZHglM0QxOCUyNnF0JTNEJTI2YXBrJTNEMiUyNnNjJTNEV1dXJTI2dXIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZsciUzRCVFNCVCOCVBRCVFNSVCMSVCMSUyNmZ0JTNEJTdCJTdE#from=mpl_search_suggest,-1.0,N/A,湛江国家森林公园欢乐世界，占地16000多平方米。项目有：旋转迪士高、穿梭时空、飓风飞椅、丛林飞鼠、豪华转马、豪华碰碰车、狂牛、越野追逐车、动物乐队、灯塔转盘、蓝色旋风、小火车、六人旋转小蜜蜂、水上乐园等十四个游乐项目。宗旨是：安全、优质、刺激、享受、服务、猎奇刺激、生态旅游、无限享乐，新春佳节的好去处，森林公园欢乐世界欢迎您！公园已开发景区面积1800亩，有湖水清澈，景色宜人的600亩赤溪湖；融南亚热带林相特色为一体的十片公益林以及集娱乐*能于一身的休闲活动区。先后建设旅游观光瞭望塔、水榭、休闲观景亭多座、愿望广场、欢乐世界、生态园、盆景园、泰国文化村、大型动物表演、森林生态旅游等。公园定位为生态型郊野公园，规划为“一湖四区、“一环九心”。“一湖”即是赤溪湖；“四区”即是动态活动区、湖滨休闲度假区、科教观光区、生态休闲养生区。“一环”即是环湖道路景观带，串联着九大核心*能节点，“九心”即是指核心景区九大核心*能节点，分别为：主入口核心区；生态风情区；野生动物保护区；农业观光区；休闲养生区；湿地保护区；森林保育区；康体活动区；休闲度假区。,08/29-12/31；08:00-22:00开园,https://imgs.qunarzz.com/sight/p0/1611/4e/4e3cc3483f3beac6a3.water.jpg_710x360_6dc9a9ac.jpg〇https://imgs.qunarzz.com/sight/p0/1611/7b/7b8c8930814658d5a3.water.jpg_710x360_27191765.jpg〇https://imgs.qunarzz.com/sight/p0/1611/d4/d49bdec5f35091bba3.water.jpg_710x360_f49c3349.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
湛江三岭山森林公园,https://imgs.qunarzz.com/sight/p0/201212/19/1bd4ce84ce72fccc93835fbb.jpg_280x200_c5306f88.jpg,湛江市,霞山区,广东省湛江市霞山区百蓬路,-1,-1.0,环山依水，湖光山色，林木茂盛，鸟语花香,https://piao.qunar.com/ticket/detail_4255074545.html?st=a3clM0QlRTklOUMlOUUlRTUlQjElQjElRTUlOEMlQkElMjZpZCUzRDM5MDYwJTI2dHlwZSUzRDAlMjZpZHglM0QxNyUyNnF0JTNEJTI2YXBrJTNEMiUyNnNjJTNEV1dXJTI2dXIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZsciUzRCVFNCVCOCVBRCVFNSVCMSVCMSUyNmZ0JTNEJTdCJTdE#from=mpl_search_suggest,-1.0,3A景区,——湛江市区西南3公里处，公园总面积11081亩，绿化覆盖率100%。是湛江市区重要绿色保护屏障，对降低城市空气污染、净化空气、调节气候、涵养水分起着重要环保作用，被誉为湛江“市肺”。湛江市森林公园以其灵秀的自然景观令人神往。环山依水，湖光山色，大小不一的山岭连绵起伏，山沟峡谷形态各异，林木茂盛，云蒸霞蔚，鸟语花香。是一个集旅游、观光、野炊、烧烤、休闲度假于一体的生态型郊野公园。,01/01-12/31；8:00-18:00开园,https://imgs.qunarzz.com/sight/p0/201212/19/1bd4ce84ce72fccc93835fbb.jpg_710x360_94d8d55f.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
湛江森林公园欢乐世界,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0105n12000av1x2x5FAAC_C_900_504.jpg_280x200_8e22a4eb.jpg,湛江市,霞山区,西南三公里处广东·三岭山国家森林公园内,-1,-1.0,建有旅游观光瞭望塔,https://piao.qunar.com/ticket/detail_392793319.html?st=a3clM0QlRTklOUMlOUUlRTUlQjElQjElRTUlOEMlQkElMjZpZCUzRDUzNTcxMiUyNnR5cGUlM0QwJTI2aWR4JTNEMjQlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,N/A,1/1-12/31；周一至周日；09:00-18:00开园；（18:00停止入园）,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0105n12000av1x2x5FAAC_C_900_504.jpg_710x360_c4dc4680.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0103412000av1xada6C85_C_900_504_Q90_Mtg_7.jpg_710x360_d22f2795.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0100g12000av1xad3599F_C_900_504_Q90_Mtg_7.jpg_710x360_21fae81a.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0105p12000av1x54y6F8F_C_900_504_Q90_Mtg_7.jpg_710x360_feba4c0d.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0105112000av1x6tq59FF_C_900_504_Q90_Mtg_7.jpg_710x360_d01348db.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0105n12000av1x2x5FAAC_C_900_504_Q90_Mtg_7.jpg_710x360_21e5a7f2.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
湛江Joker真人密室逃脱,https://imgs.qunarzz.com/sight/p0/201309/06/adb91c1f976fb979c8d65eac.jpg_280x200_ab24181d.jpg,湛江市,霞山区,霞山区民治路126号翠园大厦20楼E室(天主教堂旁),-1,-1.0,展现了密室的精髓，体验团队合作的重要,https://piao.qunar.com/ticket/detail_1562417194.html?st=a3clM0QlRTklOUMlOUUlRTUlQjElQjElRTUlOEMlQkElMjZpZCUzRDE5MjQxMyUyNnR5cGUlM0QwJTI2aWR4JTNEMTUlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,打破了电脑游戏的局限和束缚，原汁原味的展现了密室的精髓，让玩家能过通过自己的双眼和双手，经过逻辑思考和观察力，不断的发现线索和提示，能够顺利的逃脱。整个过程充满了未知性和不确定性，在紧张的场景氛围中，真正的融入到故事背景中去，这是电脑游戏所无法提供的乐趣。,暂无,https://imgs.qunarzz.com/sight/p0/201309/06/adb91c1f976fb979c8d65eac.jpg_710x360_8d74c277.jpg〇https://imgs.qunarzz.com/sight/p0/201309/06/a6950768ae8cf2dec8d65eac.jpg_710x360_fe8b496a.jpg〇https://imgs.qunarzz.com/sight/p0/201309/06/cfed9b2bf192bc98c8d65eac.jpg_710x360_00a6f905.jpg〇https://imgs.qunarzz.com/sight/p0/201309/06/28835309696e03cbc8d65eac.jpg_710x360_dd7d89aa.jpg〇https://imgs.qunarzz.com/sight/p0/201309/06/730b5cd666e8b7afc8d65eac.jpg_710x360_a28590fc.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
法式风情街,https://imgs.qunarzz.com/sight/p0/1706/3f/3fbcd6304e3053f3a3.water.jpg_280x200_db8f115c.jpg,湛江市,霞山区,广东省湛江市霞山区海滨大道法式风情街（时代广场对面）,-1,-1.0,广东省湛江市“法国风情街” 改造建设范围包括：霞山区青岛路与海滨大道交汇处至海滨西二路与海滨大道交汇处路段，全长783.,https://piao.qunar.com/ticket/detail_456033442.html?st=a3clM0QlRTklOUMlOUUlRTUlQjElQjElRTUlOEMlQkElMjZpZCUzRDQ2NDE4NSUyNnR5cGUlM0QwJTI2aWR4JTNEMjAlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,广东省湛江市“法国风情街” 改造建设范围包括：霞山区青岛路与海滨大道交汇处至海滨西二路与海滨大道交汇处路段，全长783.72米。街区内座落着广州湾法国公使署、天主教堂、福音堂、法军广州湾指挥部和东方汇理银行广州湾分行等多座法式建筑，市政府在将上述建筑进行保护的同时，在改造方法上主要做好沿街建筑的窗户、阳台、屋顶和外立面改造，突出色彩和线条的运用，将“法国风情街”与海滨公园有机衔接起来，恢复历史原貌，重现欧陆风情。该项目的建设，将成为霞山区城市建设的又一张亮丽名片。,暂无,https://imgs.qunarzz.com/sight/p0/1706/3f/3fbcd6304e3053f3a3.water.jpg_710x360_2ffb7dbd.jpg〇https://imgs.qunarzz.com/sight/p0/1706/ff/ff1a6c5425418d47a3.water.jpg_710x360_4882e302.jpg〇https://imgs.qunarzz.com/sight/p0/1706/e4/e4617a94b61f92a6a3.water.jpg_710x360_e36f9a58.jpg〇https://imgs.qunarzz.com/sight/p0/1706/46/46569ef11bcb847ea3.water.jpg_710x360_00277af6.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
德宝枚陈花洲,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0102f12000c309pax6743_C_900_504.jpg_280x200_81606976.jpg,湛江市,吴川市,广东省湛江市吴川市黄坡镇大枚陈,-1,-1.0,N/A,https://piao.qunar.com/ticket/detail_3951661728.html?st=a3clM0QlRTUlOTAlQjQlRTUlQjclOUQlRTUlQjglODIlMjZpZCUzRDUyOTYyMyUyNnR5cGUlM0QwJTI2aWR4JTNEMTAlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,N/A,1/1-12/31；周一至周日；10:00-18:30开园,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0102f12000c309pax6743_C_900_504.jpg_710x360_8aca029f.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0102f12000c309pax6743_C_900_504_Q90_Mtg_7.jpg_710x360_b2fae78a.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
