景点名称,景点图片,city,county,景点地址,景点参观人数,景点评分,景点短语,景点链接,景点最低价格,景点等级,景点详细信息,景点开放时间,景点图片合集,json
【珠海】2020迎新交响之夜《德国巴伐利亚州立交响管乐团新年音乐会》,https://imgs.qunarzz.com/sight/p0/1912/30/30c65fc05c0a10fa3.water.jpg_280x200_6d4db722.jpg,珠海市,香洲区,珠海大剧院广东省珠海市香洲区野狸岛,-1,-1.0,"德国巴伐利亚州交立响管乐团成立于2000年，由德国巴伐利亚州音乐家协会创建。

该团是从巴伐利亚管乐协会所辖的2500支",https://piao.qunar.com/ticket/detail_3948355721.html?st=a3clM0QlRTklQTYlOTklRTYlQjQlQjIlRTUlOEMlQkElMjZpZCUzRDUwMTYxNCUyNnR5cGUlM0QwJTI2aWR4JTNEMTcwJTI2cXQlM0QlMjZhcGslM0QyJTI2c2MlM0RXV1clMjZ1ciUzRCVFNCVCOCVBRCVFNSVCMSVCMSUyNmxyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2ZnQlM0QlN0IlN0Q%3D#from=mpl_search_suggest,-1.0,N/A,德国巴伐利亚州交立响管乐团成立于2000年，由德国巴伐利亚州音乐家协会创建。该团是从巴伐利亚管乐协会所辖的2500支管乐团中评选而出的最 优 秀的乐手组建而成，它代表了巴伐利亚州管乐的最 高演奏水准。其演奏的音色辉煌、技术细腻、层次丰富，并擅长演奏各个时代、各种风格、种类繁多的演出曲目。 每年举办50多场音乐会和演出，并负责州庆典和外事活动的演出任务。在意大利米兰世博会上，乐团代表德国举办“德国日”音乐会，精湛演奏水平、恢宏的演奏风格和充满浓郁巴伐利亚风情的民族服装收获了广大观众的热烈反响和一致好评。2015年“欧洲音乐节”上，其演奏作品“布兰诗歌” 获得了欧洲乐迷的广泛赞誉。作为  巴伐利亚州艺术名片  代表德国出访过法国、意大利、奥地利、俄罗斯和中国等多个国家和地区。,01/01-12/31,https://imgs.qunarzz.com/sight/p0/1912/30/30c65fc05c0a10fa3.water.jpg_710x360_29016f95.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
星潮尾波冲浪俱乐部,https://imgs.qunarzz.com/sight/p0/2306/2c/2c41b4ea8190bbc4a3.img.jpg_280x200_67c2edbf.jpg,珠海市,香洲区,广东省珠海市香洲区海韵广场手信街1007,-1,-1.0,利用造浪艇的尾波进行冲浪运动，尾波冲浪和传统海浪最 大的区别就是浪的来源，这也是许多人无法理解“为什么内陆湖泊也能冲浪”,https://piao.qunar.com/ticket/detail_1041206740.html?st=a3clM0QlRTklQTYlOTklRTYlQjQlQjIlRTUlOEMlQkElMjZpZCUzRDUxOTY1MCUyNnR5cGUlM0QwJTI2aWR4JTNEMTgwJTI2cXQlM0QlMjZhcGslM0QyJTI2c2MlM0RXV1clMjZ1ciUzRCVFNCVCOCVBRCVFNSVCMSVCMSUyNmxyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2ZnQlM0QlN0IlN0Q%3D#from=mpl_search_suggest,-1.0,N/A,利用造浪艇的尾波进行冲浪运动，尾波冲浪和传统海浪最 大的区别就是浪的来源，这也是许多人无法理解“为什么内陆湖泊也能冲浪”的原因，通过专业艇行驶时压出浪波，人们跟随在船只尾部，利用尾浪进行冲浪运动。,暂无,https://imgs.qunarzz.com/sight/p0/2306/2c/2c41b4ea8190bbc4a3.img.jpg_710x360_c1e461b2.jpg〇https://imgs.qunarzz.com/sight/p0/2306/7c/7c8e6f8e44cf5cba3.img.jpg_710x360_f1faad33.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
珠海体育中心体育场,https://imgs.qunarzz.com/sight/p0/1503/6c/6c13f59ee3fec758.water.jpg_280x200_af2f6576.jpg,珠海市,香洲区,广东珠海市香洲区红山路163号,1,5.0,体育场位于体育中心的正中央,https://piao.qunar.com/ticket/detail_3780637509.html?st=a3clM0QlRTklQTYlOTklRTYlQjQlQjIlRTUlOEMlQkElMjZpZCUzRDIxMzg5NSUyNnR5cGUlM0QwJTI2aWR4JTNEOTAlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,珠海市体育中心位于新香洲西面，总占地面积70万平方米，工程总投资7亿元人民币。体育场位于体育中心的正中央，是体育中心的主体建筑，占地12公顷，总建筑面积3万9千平方米，能容纳观众4万，框架三层，投资1亿6千万。体育场根据比赛场地的朝向，合轴为南北向，根据4，观众席采用105半径的圆形平面100米。 场内采用了先进的飞利浦比赛灯具，超大型彩色电视屏幕和计时计分屏以及计时计分，文字、数字、图象显示系统等专业设备，并与视频制作相联。场内设有中央空调、自动喷淋消防系统和自动报警装置，电脑管理系统等设施。 场内...,暂无,https://imgs.qunarzz.com/sight/p0/1503/6c/6c13f59ee3fec758.water.jpg_710x360_afee669a.jpg〇https://imgs.qunarzz.com/sight/p0/1503/cf/cf1362810ed8567.water.jpg_710x360_16fcc957.jpg〇https://imgs.qunarzz.com/sight/p0/1503/96/9679a26a1f663f18.water.jpg_710x360_87392fce.jpg〇https://imgs.qunarzz.com/sight/p0/1503/9e/9e1a660da33b1f67.water.jpg_710x360_70b0e7da.jpg〇https://imgs.qunarzz.com/sight/p0/1503/8c/8ccc253cee3e35fa.water.jpg_710x360_f6357502.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/b8450bdcc4a8a102.jpg_710x360_48b4be7b.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/62daf00e06c26d02.jpg_710x360_15e55b8e.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/7a6eea34e31f6402.jpg_710x360_f7215be0.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/17023ffe572cee02.jpg_710x360_4bbd137a.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/5febc27d30ad2602.jpg_710x360_64d8daf2.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/e13789f7511d2402.jpg_710x360_7b4aa7c0.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/e3cb32e482b41702.jpg_710x360_6ded8ede.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/c152236b3615e602.jpg_710x360_52d0ffcf.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/359123a48654fe02.jpg_710x360_27d74bd0.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 1, ""tagScore"": 5, ""tagNum"": 1, ""tagName"": ""\u597d\u8bc4""}, {""tagType"": 0, ""tagScore"": 5, ""tagNum"": 1, ""tagName"": ""\u5168\u90e8""}], ""commentList"": [{""author"": ""o*n"", ""content"": ""\u4f53\u80b2\u4e2d\u5fc3\u5360\u5730\u9762\u79ef\u7ea6\u4e00\u5e73\u65b9\u516c\u91cc\uff0c\u4e1c\u95e8\u548c\u5c0f\u4e1c\u95e8\u5728\u7ea2\u5c71\u8def\u4e0a\uff0c\u897f\u95e8\u548c\u897f2\u95e8\u5728\u5065\u6c11\u8def\u4e0a\uff0c\u5357\u95e8\u548c\u5c0f\u5357\u95e8\u5728\u9999\u534e\u8def\u4e0a\uff0c\u5317\u9762\u6709\u56f4\u680f\u4e0e\u6885\u534e\u897f\u8def\u9694\u79bb\u3002\u4f53\u80b2\u573a\u5185\u6709\u592a\u6781\u62f3\u534f\u4f1a\uff0c\u8dc6\u62f3\u9053\u534f\u4f1a\uff0c\u5065\u7f8e\u64cd\u534f\u4f1a\uff0c\u4e52\u4e53\u7403\u9986\uff0c\u68cb\u9662\uff0c\u6b66\u672f\u534f\u4f1a\uff0c\u5065\u8eab\u5de5\u4f5c\u5ba4\u3002\u6e38\u6cf3\ud83c\udfca\ud83c\udffb\u9986\u5185\u6709\u5065\u8eab\u4ff1\u4e50\u90e8\uff0c\u6b66\u9053\u534f\u4f1a\uff0c\u5bb9\u56fd\u56e2\u4f53\u80b2\u5b66\u6821\uff0c\u745c\u4f3d\u623f\uff0c\u6e05\u98ce\u68cb\u9662\uff0c\u4e2d\u56fd\u6551\u751f\u534f\u4f1a\u6551\u751f\u5458\u57f9\u8bad\u4e2d\u5fc3\u3002\u4f53\u80b2\u9986\u5185\u6709\u4fdd\u9f84\u7403\u4e2d\u5fc3\u548c\u94ed\u5c06\u684c\u7403\u3002\u5168\u6c11\u5065\u8eab\u5e7f\u573a\u4e0a\u6709\u9732\u5929\u8db3\u7403\u573a\uff0c\u7bee\u7403\u573a\uff0c\u4e52\u4e53\u7403\u684c\uff0c\u4e3a\u5e02\u6c11\u5065\u8eab\u8fd0\u52a8\u63d0\u4f9b\u4e86\u826f\u597d\u7684\u573a\u6240\u3002"", ""date"": ""2020-05-21"", ""score"": 5, ""commentId"": ""214479069"", ""imgs"": [{""small"": ""https://imgs.qunarzz.com/piao/fusion/2005/42/359123a48654fe02.jpg_120x120_cab88b7a.jpg"", ""title"": """", ""big"": ""https://imgs.qunarzz.com/piao/fusion/2005/42/359123a48654fe02.jpg""}, {""small"": ""https://imgs.qunarzz.com/piao/fusion/2005/97/c152236b3615e602.jpg_120x120_e2cc950a.jpg"", ""title"": """", ""big"": ""https://imgs.qunarzz.com/piao/fusion/2005/97/c152236b3615e602.jpg""}, {""small"": ""https://imgs.qunarzz.com/piao/fusion/2005/26/e3cb32e482b41702.jpg_120x120_d26361fd.jpg"", ""title"": """", ""big"": ""https://imgs.qunarzz.com/piao/fusion/2005/26/e3cb32e482b41702.jpg""}, {""small"": ""https://imgs.qunarzz.com/piao/fusion/2005/64/e13789f7511d2402.jpg_120x120_36b94667.jpg"", ""title"": """", ""big"": ""https://imgs.qunarzz.com/piao/fusion/2005/64/e13789f7511d2402.jpg""}, {""small"": ""https://imgs.qunarzz.com/piao/fusion/2005/2e/5febc27d30ad2602.jpg_120x120_4c38a726.jpg"", ""title"": """", ""big"": ""https://imgs.qunarzz.com/piao/fusion/2005/2e/5febc27d30ad2602.jpg""}, {""small"": ""https://imgs.qunarzz.com/piao/fusion/2005/a7/17023ffe572cee02.jpg_120x120_bef544e2.jpg"", ""title"": """", ""big"": ""https://imgs.qunarzz.com/piao/fusion/2005/a7/17023ffe572cee02.jpg""}, {""small"": ""https://imgs.qunarzz.com/piao/fusion/2005/d6/7a6eea34e31f6402.jpg_120x120_93514a70.jpg"", ""title"": """", ""big"": ""https://imgs.qunarzz.com/piao/fusion/2005/d6/7a6eea34e31f6402.jpg""}, {""small"": ""https://imgs.qunarzz.com/piao/fusion/2005/35/62daf00e06c26d02.jpg_120x120_da312870.jpg"", ""title"": """", ""big"": ""https://imgs.qunarzz.com/piao/fusion/2005/35/62daf00e06c26d02.jpg""}, {""small"": ""https://imgs.qunarzz.com/piao/fusion/2005/79/b8450bdcc4a8a102.jpg_120x120_56b11dc6.jpg"", ""title"": """", ""big"": ""https://imgs.qunarzz.com/piao/fusion/2005/79/b8450bdcc4a8a102.jpg""}], ""userNickName"": ""o*n"", ""replyCityName"": """", ""cityName"": """"}], ""score"": 5.0, ""commentCount"": 1}, ""statusCode"": 200}"
桂山岛海豚湾水上运动中心,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo3e12000f280sh69874_C_900_504.jpg_280x200_3032fe78.jpg,珠海市,香洲区,珠海市香洲区桂山岛十三湾,-1,-1.0,N/A,https://piao.qunar.com/ticket/detail_1625876581.html?st=a3clM0QlRTklQTYlOTklRTYlQjQlQjIlRTUlOEMlQkElMjZpZCUzRDUzNDUxOSUyNnR5cGUlM0QwJTI2aWR4JTNENzUlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,198.0,N/A,N/A,1/1-12/31；周一至周日；08:30-18:00开园,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo3e12000f280sh69874_C_900_504.jpg_710x360_4f1ff255.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo3u12000f28134099B4_C_900_504_Q90_Mtg_7.jpg_710x360_ceb2933f.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo1y12000f23anp2AF9C_C_900_504_Q90_Mtg_7.jpg_710x360_1c614385.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo3y12000f23apo27D3F_C_900_504_Q90_Mtg_7.jpg_710x360_992bd8a5.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo5t12000f281bq3D308_C_900_504_Q90_Mtg_7.jpg_710x360_e704bbd8.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo7112000f281i3y26D5_C_900_504_Q90_Mtg_7.jpg_710x360_219cef28.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo3312000f2813667A0B_C_900_504_Q90_Mtg_7.jpg_710x360_7bb94cbd.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo2912000f281iuu1D54_C_900_504_Q90_Mtg_7.jpg_710x360_e339e8a0.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo4g12000f23b5l5249C_C_900_504_Q90_Mtg_7.jpg_710x360_dc52111e.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo1i12000f27r9hl0280_C_900_504_Q90_Mtg_7.jpg_710x360_350540f1.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/1lo3e12000f280sh69874_C_900_504_Q90_Mtg_7.jpg_710x360_527bfe2e.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
求子泉,https://imgs.qunarzz.com/sight/p0/1705/f7/f7a470c178db510fa3.water.jpg_280x200_886c6654.jpg,珠海市,香洲区,广东省珠海市香洲区东南部东澳岛内,3,5.0,饮泉求子,https://piao.qunar.com/ticket/detail_1449765218.html?st=a3clM0QlRTklQTYlOTklRTYlQjQlQjIlRTUlOEMlQkElMjZpZCUzRDQ2MzgwNiUyNnR5cGUlM0QwJTI2aWR4JTNENDUlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,238.0,N/A,据说，这里原来没有这么一泓泉水的，在很久以前，一对青年男女因逃婚从大陆来到这里，在此过起了捕鱼、耕地、丰衣足食的生活，但美中不足的是没有儿女。一天，这对夫妇在出海捕鱼的时候，捕到了一条红色的无鳞鱼，并发现这条奇怪的鱼在太阳的照射下直流眼泪，夫妇俩便动了恻隐之心，将它放归大海，这条鱼放生后，突然开口说话了：“我是南海龙王的女儿，感谢你们放了我，你们有什么需要，尽管开口好了，我会报答你们的。”夫妇俩想了想，便讲了希望能生儿育女的愿望，小龙女说：“这个容易，只要你们每天饮昂塘山顶的泉水，就可以了”。回家后，这对夫妇果然在山顶找到了这眼泉水，一年过去了，这对夫妇不仅生了孩子，而且还是难得的龙凤胎。这件事很快就传开了，求子泉因此而得名。说来也怪，目前居住在这里的几户居民就有三对孪生双胞胎。所以很多新婚夫妇都来此饮水，祈求得到龙凤胎。,01/01-12/31；全天开放,https://imgs.qunarzz.com/sight/p0/1705/f7/f7a470c178db510fa3.water.jpg_710x360_63b22036.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/eadbd1a8621ab5cee8bcf3341953c28f.jpg_710x360_d5d56acc.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0f55efbbb3960337.jpg_710x360_912e0ce1.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 1, ""tagScore"": 5, ""tagNum"": 3, ""tagName"": ""\u597d\u8bc4""}, {""tagType"": 0, ""tagScore"": 5, ""tagNum"": 3, ""tagName"": ""\u5168\u90e8""}], ""commentList"": [{""author"": ""p*4"", ""content"": ""\u7528\u6237\u672a\u70b9\u8bc4\uff0c\u7cfb\u7edf\u9ed8\u8ba4\u597d\u8bc4\u3002"", ""date"": ""2023-05-29"", ""score"": 5, ""commentId"": ""225663184"", ""imgs"": [], ""userNickName"": ""p*4"", ""replyCityName"": """", ""cityName"": """"}, {""author"": ""a*3"", ""content"": ""\u7528\u6237\u672a\u70b9\u8bc4\uff0c\u7cfb\u7edf\u9ed8\u8ba4\u597d\u8bc4\u3002"", ""date"": ""2023-05-09"", ""score"": 5, ""commentId"": ""225406210"", ""imgs"": [], ""userNickName"": ""a*3"", ""replyCityName"": """", ""cityName"": """"}, {""author"": ""z*d"", ""content"": ""\u7528\u6237\u672a\u70b9\u8bc4\uff0c\u7cfb\u7edf\u9ed8\u8ba4\u597d\u8bc4\u3002"", ""date"": ""2023-01-30"", ""score"": 5, ""commentId"": ""223972125"", ""imgs"": [], ""userNickName"": ""z*d"", ""replyCityName"": """", ""cityName"": """"}], ""score"": 5.0, ""commentCount"": 3}, ""statusCode"": 200}"
沙湾古遗址,https://imgs.qunarzz.com/sight/p88/201211/02/db03bcb988aabd6893835fbb.jpg_280x200_5e547462.jpg,珠海市,香洲区,珠海市淇澳岛东部,-1,-1.0,历史年代较早的古文化遗址之一,https://piao.qunar.com/ticket/detail_3941688537.html?st=a3clM0QlRTklQTYlOTklRTYlQjQlQjIlRTUlOEMlQkElMjZpZCUzRDExMTU3JTI2dHlwZSUzRDAlMjZpZHglM0QxNjklMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,"沙湾古遗址位于淇澳岛东部, 高出海岸的沙丘上。一九八四年文物普查中在这里发现了新石器时代的彩陶文物，成为广东省境内屈指可数的历史年代较早的古文化遗址之一。文物中有陶豆、夹砂釜、石球、水晶块和五六个品种的圈足盘，其中一件文物为由三道刻划缕点花纹作为装饰的圈足盘，为省内考古首次发现。据中科院测试，其所处年代距今4，450多年。",01/01-12/31；8:30-17:00开园,https://imgs.qunarzz.com/sight/p88/201211/02/db03bcb988aabd6893835fbb.jpg_710x360_d9929ada.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
海上看港珠澳大桥,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/100i1f000001gp4yv64FB_C_900_504.jpg_280x200_3217e9fa.jpg,珠海市,香洲区,珠海市香洲区情侣南路599号,1,5.0,乘车乘船欣赏港珠澳大桥,https://piao.qunar.com/ticket/detail_1061128213.html?st=a3clM0QlRTklQTYlOTklRTYlQjQlQjIlRTUlOEMlQkElMjZpZCUzRDUzMzA0OCUyNnR5cGUlM0QwJTI2aWR4JTNEMzAlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,100.0,N/A,N/A,1/1-12/31；周一至周日；07:00-20:30开园,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/100i1f000001gp4yv64FB_C_900_504.jpg_710x360_973d925a.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/100v0s000000i5xie00B9_C_900_504_Q90_Mtg_7.jpg_710x360_13b03cf3.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/10080s000000hv2s9385A_C_900_504_Q90_Mtg_7.jpg_710x360_2d8c065f.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/350e1f000001g0gbd75D1_C_900_504_Q90_Mtg_7.jpg_710x360_766cc624.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/35041f000001fwool4999_C_900_504_Q90_Mtg_7.jpg_710x360_fd650444.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/35091f000001g03td1919_C_900_504_Q90_Mtg_7.jpg_710x360_b62eea76.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/100w0z000000nf8bpE1A9_C_900_504_Q90_Mtg_7.jpg_710x360_076c15ce.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/01043120008fap1l45BFD_C_900_504_Q90_Mtg_7.jpg_710x360_3b291faf.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/35011f000001gammc1989_C_900_504_Q90_Mtg_7.jpg_710x360_a2d57e59.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/100u0v000000jl3quC3AE_C_900_504_Q90_Mtg_7.jpg_710x360_45473091.jpg〇https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/100i1f000001gp4yv64FB_C_900_504_Q90_Mtg_7.jpg_710x360_cf9320c1.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 1, ""tagScore"": 5, ""tagNum"": 1, ""tagName"": ""\u597d\u8bc4""}, {""tagType"": 0, ""tagScore"": 5, ""tagNum"": 1, ""tagName"": ""\u5168\u90e8""}], ""commentList"": [{""author"": ""o*0"", ""content"": ""\u7528\u6237\u672a\u70b9\u8bc4\uff0c\u7cfb\u7edf\u9ed8\u8ba4\u597d\u8bc4\u3002"", ""date"": ""2024-12-24"", ""score"": 5, ""commentId"": ""239355862"", ""imgs"": [], ""userNickName"": ""o*0"", ""replyCityName"": """", ""cityName"": """"}], ""score"": 5.0, ""commentCount"": 1}, ""statusCode"": 200}"
桃园山庄,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/18f4597261ed1a37.jpg_280x200_823ee1b1.jpg,珠海市,斗门区,广东省珠海市斗门区连洲镇东湾村68号,-1,-1.0,品尝美味的天王灵芝猪-清水火锅宴,https://piao.qunar.com/ticket/detail_3843227710.html?st=a3clM0QlRTYlOTYlOTclRTklOTclQTglRTUlOEMlQkElMjZpZCUzRDQ2NTAxMiUyNnR5cGUlM0QwJTI2aWR4JTNEMzYlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,桃花山庄可品尝当地特色，闻名远近的天王灵芝猪-清水火锅宴。 普通的灵芝如果不经过破壁等繁琐的工序，营养是无法被人体直接吸收的。桃花庄团将灵芝经过发酵，加入正宗黑山猪饲料中，使得其肉质中的灵芝苷糖成分增加。以当地清泉为汤，添加灵芝猪骨+灵芝老母鸡打底，以荔枝原木为柴，不添加任何人工调料。待水开汤动，将灵芝黑山猪切片下锅，即时捞出食用，未曾入口即清香扑鼻，品尝起来更觉口感爽脆，肥而不腻，原味十足。令食客大呼过瘾！,暂无,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/18f4597261ed1a37.jpg_710x360_6f1e1549.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
赵家庄,https://imgs.qunarzz.com/sight/p0/1707/27/27e3c6910e5757aba3.water.jpg_280x200_18bed2ea.jpg,珠海市,斗门区,广东省珠海市斗门区南门村新围,-1,-1.0,古屋探密，别样风景,https://piao.qunar.com/ticket/detail_2447817417.html?st=a3clM0QlRTYlOTYlOTclRTklOTclQTglRTUlOEMlQkElMjZpZCUzRDQ2NTA0NSUyNnR5cGUlM0QwJTI2aWR4JTNEMzUlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,赵家庄又称接霞庄（即现新围村），位于珠江三角洲西岸，珠江虎跳门东岸，珠海市斗门区西北部。始建于嘉庆初年，已有200多年的历史。赵家庄建筑风格统一、布局合理，庄村房屋的设计均仿照广州西关模式，由佛山的建筑师建造。到清同治年，庄内房屋建造及环境布置装饰富丽堂皇，当时共建有恢宏大屋十四座，全部坐南向北，清一色的青砖瓦房，浓淡相宜的色调勾勒出典雅质朴的轮廓。庄的东、西、北三面被荷花池和绿竹环抱，南边被护庄河、绿竹及四米高的围墙围住。一条小河自东向西，转北流向子孙塘。庄外东、南边是霞山一片树林，林中建有霞山祖庙。全庄5个闸门，均有专人看管。整个庄园在青山绿水、翠竹与鲜花丛中，有如世外桃源，真可谓人间仙境，置身其中，心旷神怡。,暂无,https://imgs.qunarzz.com/sight/p0/1707/27/27e3c6910e5757aba3.water.jpg_710x360_98f9c0e7.jpg〇https://imgs.qunarzz.com/sight/p0/1707/aa/aad8b05eb0ecbf60a3.water.jpg_710x360_6ff097d9.jpg〇https://imgs.qunarzz.com/sight/p0/1707/17/172f346a67ef4842a3.water.jpg_710x360_c9b9cca7.jpg〇https://imgs.qunarzz.com/sight/p0/1707/a9/a92bc01b29f294f4a3.water.jpg_710x360_ae238ae8.jpg,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
珠海英骑马术庄园,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png,珠海市,斗门区,广东省珠海市斗门区新马墩村6号地,-1,-1.0,N/A,https://piao.qunar.com/ticket/detail_3357841664.html?st=a3clM0QlRTYlOTYlOTclRTklOTclQTglRTUlOEMlQkElMjZpZCUzRDUzODgyOCUyNnR5cGUlM0QwJTI2aWR4JTNEMzQlMjZxdCUzRCUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU0JUI4JUFEJUU1JUIxJUIxJTI2bHIlM0QlRTQlQjglQUQlRTUlQjElQjElMjZmdCUzRCU3QiU3RA%3D%3D#from=mpl_search_suggest,-1.0,N/A,N/A,暂无,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_710x360_c2302e12.png,"{""ret"": true, ""data"": {""tagList"": [{""tagType"": 0, ""tagScore"": 5, ""tagNum"": 0, ""tagName"": ""\u5168\u90e8""}], ""score"": 0.0, ""commentCount"": 0}, ""statusCode"": 200}"
